Page score,Page trust score,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/192143,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,131,false,false,false,false,true,false,2017-08-06,2017-12-05,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",http://www.bomprecopecas.com.br/add-lista/id/98436,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,131,false,false,false,false,true,false,2017-07-18,2017-11-26,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",http://www.bomprecopecas.com.br/add-lista/id/105691,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,131,false,false,false,false,true,false,2017-08-25,2017-11-24,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/55313,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,113,false,false,false,false,true,false,2017-11-11,2017-11-11,true,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/26773,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,113,false,false,false,false,true,false,2017-11-11,2017-11-11,true,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/41813,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,113,false,false,false,false,true,false,2017-11-11,2017-11-11,true,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/59532,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,113,false,false,false,false,true,false,2017-11-03,2017-11-03,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/88100,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,113,false,false,false,false,true,false,2017-11-01,2017-11-21,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",http://www.bomprecopecas.com.br/add-lista/id/109661,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,131,false,false,false,false,true,false,2017-09-16,2017-12-02,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/64840,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,116,false,false,false,false,true,false,2017-10-17,2017-10-17,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/84721,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,115,false,false,false,false,true,false,2017-10-09,2017-11-30,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/129675,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,131,false,false,false,false,true,false,2017-09-16,2017-11-17,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/183506,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,131,false,false,false,false,true,false,2017-09-18,2017-11-02,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",http://www.bomprecopecas.com.br/add-lista/id/11210,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,131,false,false,false,false,true,false,2017-09-09,2017-11-24,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",http://www.bomprecopecas.com.br/add-lista/id/13524,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,131,false,false,false,false,true,false,2017-08-03,2017-11-21,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/209623,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,116,false,false,false,false,true,false,2017-10-29,2017-10-29,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",http://www.bomprecopecas.com.br/add-lista/id/22932,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,131,false,false,false,false,true,false,2017-09-10,2017-11-27,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/52983,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,116,false,false,false,false,true,false,2017-10-18,2017-11-19,false,false
