Page score,Page trust score,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
1,0,Ken Follett: Conheça seus livros! « Universo Fnac,http://www.universofnac.com.br/fnac/ken-follett-conheca-seus-livros/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,22,23,false,true,false,false,false,false,2017-08-24,2017-11-08,false,false
1,0,Canto do Conto « Universo Fnac,http://www.universofnac.com.br/evento/canto-do-conto-356/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,16,44,false,true,false,false,false,false,2017-09-07,2017-11-08,false,false
1,0,#MeuAmigoSecreto: Feminismo Além das Redes | Coletivo Não Me Kahlo « Universo Fnac,http://www.universofnac.com.br/evento/meuamigosecreto-feminismo-alem-das-redes-coletivo-nao-me-kahlo/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,16,110,false,true,false,false,false,false,2017-02-25,2017-11-02,false,false
1,0,Coffe Time Poema Café « Universo Fnac,http://www.universofnac.com.br/evento/coffe-time-poema-cafe-2/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,19,146,false,true,false,false,false,false,2017-03-12,2017-11-08,false,false
1,0,Você sabe como é feito um disco de vinil? « Universo Fnac,http://www.universofnac.com.br/fnac/voce-sabe-como-e-feito-um-disco-de-vinil/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,17,24,false,true,false,false,false,false,2017-01-27,2017-11-13,false,false
1,0,Futencontro| As inesquecíveis histórias do Pacaembú « Universo Fnac,http://www.universofnac.com.br/evento/futencontro-2/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%2BSAC,Sac,16,40,false,true,false,false,false,false,2017-12-04,2017-12-04,true,false
1,0,"Revista Encontro Teatro, Mímica e Dança « Universo Fnac",http://www.universofnac.com.br/evento/revista-encontro-teatro-mimica-e-danca/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,22,41,false,true,false,false,false,false,2017-11-08,2017-11-08,false,false
1,0,O Pequeno Príncipe « Universo Fnac,http://www.universofnac.com.br/evento/o-pequeno-principe/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,23,155,false,true,false,false,false,false,2017-08-09,2017-11-08,false,false
1,0,Eventos para 20 junho 2017 « Universo Fnac,http://www.universofnac.com.br/calendario/2017-06-20?eventDate=2017-06-20&eventDisplay=day&post_type=tribe_events,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,23,44,false,true,false,false,false,false,2017-08-29,2017-10-29,false,false
1,0,Conheça mais dos dois relançamentos da TecToy « Universo Fnac,http://www.universofnac.com.br/fnac/proxima-fase-nostalgia-conheca-mais-dos-dois-relancamentos-da-tectoy-o-atari-e-o-mega-drive/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,18,22,false,true,false,false,false,false,2017-06-18,2017-10-02,false,false
1,0,Paulo Werneck_ « Universo Fnac,http://www.universofnac.com.br/?attachment_id=129693,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%2BSAC,Sac,23,14,false,true,false,false,false,false,2017-11-19,2017-11-19,true,false
1,0,FÊ LEMOS « Universo Fnac,http://www.universofnac.com.br/evento/fe-lemos-5/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,22,41,false,true,false,false,false,false,2017-11-02,2017-11-19,false,true
1,0,Eventos para 3 junho 2017 « Universo Fnac,http://www.universofnac.com.br/calendario/2017-06-03/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,37,86,false,true,false,false,false,false,2017-06-23,2017-11-08,false,false
1,0,Festival Varilux de Cinema Francês 2014 começa no dia 9/04. Confira a programação! « Universo Fnac,http://www.universofnac.com.br/fnac/festival-varilux-de-cinema-frances-2014-comeca-no-dia-904-confira-a-programacao/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,24,24,false,true,false,false,false,false,2017-08-05,2017-11-19,false,true
1,0,Eventos para 13 abril 2013 « Universo Fnac,http://www.universofnac.com.br/calendario/2013-04-13?eventDate=2013-04-13&eventDisplay=day&post_type=tribe_events,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,30,68,false,true,false,false,false,false,2017-10-18,2017-10-18,false,false
1,0,Chimpanzés de Gaveta « Universo Fnac,http://www.universofnac.com.br/evento/chimpanzes-de-gaveta/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,22,170,false,true,false,false,false,false,2017-08-04,2017-10-19,false,false
1,0,Canto do Conto « Universo Fnac,http://www.universofnac.com.br/evento/canto-do-conto-341/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,16,32,false,true,false,false,false,false,2017-09-22,2017-10-07,false,false
1,0,MOGLI « Universo Fnac,http://www.universofnac.com.br/?attachment_id=129658,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,23,12,false,true,false,false,false,false,2017-09-22,2017-10-23,false,false
1,0,Ciclo Autoconhecimento « Universo Fnac,http://www.universofnac.com.br/evento/ciclo-autoconhecimento-2/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,16,50,false,true,false,false,false,false,2017-10-29,2017-10-29,false,false
1,0,Canto do Conto « Universo Fnac,http://www.universofnac.com.br/evento/canto-do-conto-393/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,16,185,false,true,false,false,false,false,2017-07-21,2017-10-18,false,false
1,0,Vera Loca « Universo Fnac,http://www.universofnac.com.br/evento/vera-loca-5/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,16,44,false,true,false,false,false,false,2017-09-12,2017-10-29,false,false
1,0,Eventos para 14 junho 2017 « Universo Fnac,http://www.universofnac.com.br/calendario/2017-06-14/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,23,44,false,true,false,false,false,false,2017-06-29,2017-10-12,false,false
1,0,Mariana Morena « Universo Fnac,http://www.universofnac.com.br/evento/mariana-morena/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,22,110,false,true,false,false,false,false,2017-02-25,2017-11-03,false,false
1,0,Agosto: lista traz 6 novos livros que não podem faltar na sua estante! « Universo Fnac,http://www.universofnac.com.br/fnac/agosto-lista-traz-6-novos-livros-que-nao-podem-faltar-na-sua-estante/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,22,23,false,true,false,false,false,false,2017-09-07,2017-11-08,false,false
1,0,Nanete Neves / O Poeta e a Foca « Universo Fnac,http://www.universofnac.com.br/evento/nanete-neves-o-poeta-e-a-foca/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,16,53,false,true,false,false,false,false,2017-11-13,2017-11-13,true,false
1,0,Canto do Conto « Universo Fnac,http://www.universofnac.com.br/evento/canto-do-conto-302/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,16,56,false,true,false,false,false,false,2017-10-24,2017-11-08,false,false
