Keyword,Position,Previous Position,Search Volume,Keyword Difficulty Index,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp
"zendesk help desk","1","1","70","62.67","0.00","https://www.zendesk.com.br/help-desk-software/","0.31","0.00","0.86","525000","0.44,0.56,0.11,0.56,1.00,1.00,0.33,1.00,0.22,0.22,0.44,0.22","1511255654"
"zendesk demo","1","1","70","48.70","0.00","https://www.zendesk.com.br/demo/","0.31","0.00","0.61","437000","0.33,0.78,0.22,0.78,1.00,0.44,0.44,0.11,0.78,0.78,0.78,0.78","1511251367"
"zendesk compare","1","1","70","48.37","0.00","https://www.zendesk.com.br/support/compare/","0.31","0.00","0.64","386000","0.57,0.14,0.14,0.14,0.14,0.14,0.71,0.14,0.14,0.14,0.14,1.00","1511254705"
"zendesk ceo","1","1","70","68.38","0.00","https://www.zendesk.com.br/company/management-team/","0.31","0.00","0.00","392000","0.44,0.11,0.33,1.00,1.00,0.22,0.56,0.22,0.11,0.44,0.44,0.11","1511279251"
"web based call center","1","0","70","46.82","0.00","https://www.zendesk.com.br/talk/features/web-based-call-center-software/","0.31","0.00","0.00","31600000","0.11,0.11,0.11,1.00,0.11,0.22,0.56,0.11,0.11,0.11,0.11,0.11","1511257723"
"zendesk contact","1","1","70","46.33","0.00","https://www.zendesk.com.br/contact/","0.31","0.00","0.29","10600000","0.11,1.00,0.11,1.00,1.00,0.22,0.11,0.22,0.11,0.44,0.11,0.22","1511279543"
"software ticketing system","1","1","70","47.70","0.00","https://www.zendesk.com.br/help-desk-software/features/ticketing-system/","0.31","0.00","0.00","86700000","0.14,0.57,0.14,0.14,0.14,0.29,0.43,1.00,0.57,0.57,0.14,0.14","1511348445"
"webwidget","1","5","70","55.80","0.00","https://www.zendesk.com.br/embeddables/web-widget/","0.31","0.00","0.00","1770000","0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.29,0.14,0.57,0.14,0.14","1511286451"
"www zendesk com login","1","1","70","39.10","0.00","https://www.zendesk.com.br/login/","0.31","0.00","0.26","3280000","1.00,0.78,0.33,0.78,0.11,0.11,0.11,0.44,0.78,0.78,0.44,0.22","1511287130"
"faq software","1","1","70","46.14","1.98","https://www.zendesk.com.br/guide/features/knowledge-base-software/faq-software/","0.31","0.01","0.69","214000000","0.78,0.78,0.22,0.78,1.00,0.11,1.00,0.44,0.78,0.78,0.33,0.22","1511229941"
"zendesk pricing plans","1","1","70","31.90","0.00","https://www.zendesk.com.br/product/pricing/","0.31","0.00","0.00","263000","0.33,0.33,0.33,0.33,0.33,0.33,1.00,0.33,0.67,0.67,0.33,0.33","1511308206"
"zendesk sign in","1","1","70","58.67","0.00","https://www.zendesk.com.br/login/","0.31","0.00","0.00","10400000","1.00,0.44,0.11,0.11,0.11,0.11,0.78,0.11,0.44,0.11,0.11,0.11","1511292691"
"skyscaner","11","11","2900","75.60","0.91","https://www.zendesk.com.br/customer/skyscanner/","0.26","0.00","0.01","0","0.67,0.67,0.67,0.67,0.81,0.81,1.00,0.81,0.81,1.00,1.00,1.00","1513002719"
"xero","12","12","1900","61.86","0.42","https://www.zendesk.com.br/customer/xero/","0.23","0.00","0.02","12200000","0.36,0.30,0.12,0.30,0.23,0.44,0.30,0.67,1.00,1.00,0.23,0.36","1513579385"
"atendimento ao cliente","20","18","8100","72.06","1.75","https://www.zendesk.com.br/support/","0.23","0.01","0.23","3510000","0.82,1.00,1.00,1.00,1.00,0.55,0.67,0.67,1.00,0.82,1.00,1.00","1513518250"
"ticket system","1","0","50","53.50","183.51","https://www.zendesk.com.br/help-desk-software/features/ticketing-system/","0.22","1.24","0.87","10700000","1.00,1.00,1.00,0.71,1.00,0.71,0.71,0.43,1.00,0.71,0.57,0.57","1512596168"
"preço","31","20","33100","76.20","0.61","https://www.zendesk.com.br/product/pricing/","0.22","0.00","0.05","286000000","0.55,0.55,0.67,0.67,0.67,0.67,0.67,0.67,1.00,0.82,1.00,1.00","1513529822"
"base de conhecimento","5","2","390","62.11","3.65","https://www.zendesk.com.br/guide/features/knowledge-base-software/","0.18","0.01","0.12","19700000","0.66,0.66,0.66,0.66,0.66,0.44,0.54,0.66,1.00,0.81,0.81,1.00","1513135944"
"suporte uber","16","17","3600","70.13","0.81","https://www.zendesk.com.br/customer/uber/","0.17","0.00","0.17","531000","0.11,0.06,0.03,0.06,0.01,0.12,0.44,1.00,0.67,0.67,0.81,0.23","1513507659"
"help desk open source","2","2","140","42.30","34.41","https://www.zendesk.com.br/help-desk-software/features/open-source-help-desk/","0.17","0.18","0.94","37600000","0.82,0.82,0.65,0.65,0.65,0.65,0.82,0.65,1.00,1.00,0.65,0.82","1508910176"
"tivago","11","0","1900","79.59","0.19","https://www.zendesk.com.br/customer/trivago/","0.16","0.00","0.23","30000000","0.54,0.44,0.20,0.44,0.16,0.30,0.44,1.00,0.67,0.67,0.16,0.54","1510501851"
"modcloth","11","10","1900","78.99","0.13","https://www.zendesk.com.br/customer/modcloth/","0.16","0.00","0.03","30100000","1.00,0.83,0.83,0.83,0.83,0.66,0.66,0.66,0.66,0.66,0.66,0.66","1513565199"
"zoosk entrar","18","31","5400","79.40","0.06","https://www.zendesk.com.br/customer/zoosk/","0.15","0.00","0.18","259000","0.02,0.67,0.12,0.67,0.23,1.00,0.67,0.06,0.44,0.44,0.23,0.81","1513593289"
"skycanner","7","12","1900","79.15","0.65","https://www.zendesk.com.br/customer/skyscanner/","0.14","0.00","0.02","0","0.55,0.55,0.55,0.55,0.66,0.66,0.83,0.66,0.83,0.83,1.00,1.00","1511193761"
"atendimento ao cliente","21","0","8100","72.06","1.75","https://www.zendesk.com.br/product/innovative-customer-service/","0.11","0.00","0.23","3510000","0.82,1.00,1.00,1.00,1.00,0.55,0.67,0.67,1.00,0.82,1.00,1.00","1513518250"
"open table","11","42","1300","60.34","0.55","https://www.zendesk.com.br/customer/opentable/","0.11","0.00","0.01","0","1.00,0.82,0.36,0.82,0.13,0.55,0.82,0.16,0.10,0.10,0.29,0.44","1511601072"
"zendesk free plan","2","0","90","53.70","0.00","https://www.zendesk.com.br/chat/pricing/","0.10","0.00","0.86","2260000","0.14,0.14,0.29,0.71,0.14,0.43,0.57,0.14,0.71,0.14,1.00,0.71","1513480525"
"software self service portal","2","5","90","40.16","0.00","https://www.zendesk.com.br/guide/features/customer-portal-software/self-service-portal/","0.10","0.00","0.86","233000000","0.20,0.20,0.60,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,1.00","1513547739"
"zendesk account","2","1","90","53.73","0.00","https://www.zendesk.com.br/login/","0.10","0.00","0.36","830000","0.14,0.14,0.57,0.14,1.00,0.14,0.14,0.43,0.71,0.71,0.14,0.14","1513470073"
"desk services","2","21","90","39.25","0.00","https://www.zendesk.com.br/help-desk-software/features/help-desk-services/","0.10","0.00","0.00","278000000","0.20,0.20,0.80,0.20,0.20,1.00,0.40,0.20,0.60,0.20,0.20,0.20","1510512847"
"software help desk","2","2","90","50.23","61.46","https://www.zendesk.com.br/help-desk-software/","0.10","0.20","0.96","6160000","0.79,0.79,0.64,0.79,0.50,0.36,0.50,0.50,1.00,0.64,0.79,0.64","1512455248"
"zendesk com pricing","2","0","90","52.44","0.00","https://www.zendesk.com.br/talk/pricing/","0.10","0.00","0.00","480000","0.43,0.14,0.29,0.14,1.00,0.14,0.14,0.14,0.14,0.43,0.14,0.14","1513485362"
"hosted help desk ticketing system","2","0","90","39.59","0.00","https://www.zendesk.com.br/help-desk-software/features/hosted-ticketing-system/","0.10","0.00","0.00","209000000","0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14","1509736699"
"zendesk open source","2","2","90","43.05","5.27","https://www.zendesk.com.br/help-desk-software/features/open-source-ticket-system/","0.10","0.01","0.78","438000","0.43,1.00,0.29,1.00,1.00,0.14,0.57,0.14,0.43,0.43,0.43,0.14","1513424342"
"support ticket system free","2","3","90","39.23","11.56","https://www.zendesk.com.br/support/features/free-ticketing-system/","0.10","0.03","0.79","8980000","0.11,0.11,0.33,1.00,0.78,0.56,0.11,0.56,0.11,0.11,0.22,0.56","1513444511"
"itil service desk software","2","0","90","38.05","0.00","https://www.zendesk.com.br/support/details/itil-help-desk/","0.10","0.00","0.00","474000","0.11,1.00,0.33,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.11","1509731686"
"online call center software","2","2","90","40.30","0.00","https://www.zendesk.com.br/talk/features/call-center-software/","0.10","0.00","0.00","34200000","0.33,0.33,0.33,0.33,0.33,1.00,0.33,1.00,0.33,0.33,0.33,0.33","1513572871"
"software customer service","2","2","90","49.42","0.00","https://www.zendesk.com.br/","0.10","0.00","1.00","17000000","0.11,0.56,0.22,0.56,0.11,0.33,1.00,0.11,0.11,0.11,0.11,0.56","1513554104"
"self service software portal","2","0","90","43.54","0.00","https://www.zendesk.com.br/guide/features/customer-portal-software/customer-self-service-software/","0.10","0.00","0.00","26800000","0.22,0.11,0.11,1.00,0.78,0.11,0.11,0.56,0.11,0.11,0.22,0.11","1511162500"
"online ticketing system free","2","1","90","30.18","0.00","https://www.zendesk.com.br/support/features/free-ticketing-system/","0.10","0.00","0.00","16100000","0.22,0.11,0.11,1.00,0.78,0.56,0.11,0.11,0.33,0.11,0.22,0.11","1513593737"
"hosted helpdesk","2","0","90","23.97","0.00","https://www.zendesk.com.br/help-desk-software/hosted-help-desk/","0.10","0.00","0.00","21400000","0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,1.00,0.20,0.20","1509750429"
"free ticket support system","2","4","90","42.21","0.00","https://www.zendesk.com.br/support/features/free-ticketing-system/","0.10","0.00","0.00","45200000","0.22,1.00,0.11,1.00,0.78,0.56,0.11,0.56,0.11,0.11,0.22,0.11","1509752943"
"customer service management software","2","2","90","45.09","0.00","https://www.zendesk.com.br/support/features/customer-service-management-software/","0.10","0.00","1.00","120000000","0.11,0.11,0.11,0.78,1.00,0.11,0.56,0.11,0.33,0.33,0.11,0.11","1511222704"
"help desk ticketing system free","2","0","90","47.13","0.00","https://www.zendesk.com.br/support/features/free-it-ticketing-system/","0.10","0.00","0.86","20000000","0.11,0.11,0.22,0.11,0.11,1.00,0.11,0.11,0.11,0.56,0.11,0.11","1509737482"
"zendesk live chat integration","2","3","90","43.73","0.00","https://www.zendesk.com.br/chat/features/live-chat-integration/","0.10","0.00","0.00","480000","0.11,0.11,0.44,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.33,0.11","1513503542"
"open source zendesk","2","2","90","52.20","0.00","https://www.zendesk.com.br/help-desk-software/features/open-source-ticket-system/","0.10","0.00","0.00","443000","0.43,0.14,0.29,1.00,0.14,0.14,0.14,0.14,0.43,0.14,0.43,0.14","1513567813"
"powered by zendesk","2","1","90","56.04","0.00","https://www.zendesk.com.br/","0.10","0.00","0.57","714000","0.11,0.11,0.11,0.11,1.00,0.33,1.00,0.33,0.56,0.56,0.78,0.11","1513560278"
"it tickets system","2","2","90","54.34","0.00","https://www.zendesk.com.br/support/features/free-it-ticketing-system/","0.10","0.00","0.00","340000000","0.25,0.25,0.25,0.25,0.25,0.25,1.00,0.25,0.25,0.25,0.25,0.25","1509733813"
"virtual call centre","2","3","90","37.30","0.00","https://www.zendesk.com.br/talk/features/virtual-call-center/","0.10","0.00","0.00","18300000","0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50","1513525872"
"service desk comparison","2","0","90","49.38","0.00","https://www.zendesk.com.br/support/features/service-desk-software-comparison/","0.10","0.00","1.00","4910000","0.78,0.11,0.22,0.56,1.00,0.11,0.11,0.11,0.11,0.56,0.11,0.11","1511202186"
"zendesk com","2","2","90","76.36","5.89","https://www.zendesk.com.br/login/","0.10","0.01","0.52","9070000","0.71,0.14,0.57,0.14,1.00,0.43,1.00,0.43,0.71,0.71,0.71,0.14","1513428982"
"online help desk system","2","2","90","47.48","0.00","https://www.zendesk.com.br/help-desk-software/features/free-online-help-desk/","0.10","0.00","0.00","22100000","0.14,0.14,0.57,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.43,0.14","1513593369"
"service ticket software","2","3","90","40.98","0.00","https://www.zendesk.com.br/","0.10","0.00","0.00","142000000","0.11,0.11,0.22,0.56,1.00,0.33,0.11,0.11,0.11,0.11,0.11,0.11","1511218477"
"free ticketing system software","2","0","90","43.98","0.00","https://www.zendesk.com.br/support/features/free-it-ticketing-system/","0.10","0.00","0.71","65400000","0.20,0.20,0.20,0.20,0.20,1.00,0.20,0.20,0.20,0.60,0.20,1.00","1509747856"
"problem tracking system","2","3","90","59.59","0.00","https://www.zendesk.com.br/support/features/problem-tracking-software/","0.10","0.00","0.00","441000000","0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,1.00,0.33","1513561542"
"ver preco","6","4","210","85.32","0.52","https://www.zendesk.com.br/product/pricing/","0.09","0.00","0.38","3320000","0.44,0.44,0.53,0.66,0.81,0.66,0.66,0.66,0.81,0.81,1.00,1.00","1512522324"
"ver preços","8","13","320","80.11","0.65","https://www.zendesk.com.br/product/pricing/","0.08","0.00","0.34","11900000","0.54,0.54,0.54,0.67,0.81,0.67,0.81,0.81,0.81,0.81,1.00,1.00","1511902970"
"free ticketing system","2","2","70","44.86","6.74","https://www.zendesk.com.br/support/features/free-ticketing-system/","0.08","0.01","0.58","28100000","0.71,0.57,0.14,0.57,0.14,1.00,1.00,0.29,0.57,0.57,0.29,0.29","1511162874"
"trouble ticket software","2","0","70","41.88","0.00","https://www.zendesk.com.br/support/features/free-trouble-ticket-software/","0.08","0.00","0.71","3630000","1.00,0.44,0.11,0.44,0.11,0.11,0.78,0.11,0.44,0.44,0.44,0.22","1511325287"
"chat software free","2","5","70","39.30","5.47","https://www.zendesk.com.br/chat/features/free-chat-software/","0.08","0.01","0.64","149000000","0.50,0.50,0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50,1.00","1511192769"
"chat","57","59","90500","74.32","0.58","https://www.zendesk.com.br/chat/","0.08","0.00","0.56","1780000000","1.00,1.00,1.00,1.00,0.82,0.82,1.00,0.82,0.82,0.82,0.82,0.82","1513601123"
"zendesk box","2","2","70","44.83","0.00","https://www.zendesk.com.br/customer/box/","0.08","0.00","0.00","3020000","0.25,0.25,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.00,0.25","1511285965"
"opentable","11","0","1000","69.12","0.29","https://www.zendesk.com.br/customer/opentable/","0.08","0.00","0.00","0","0.19,0.16,0.82,0.02,0.04,0.01,0.16,0.06,0.04,0.04,0.07,1.00","1511608881"
"help desk software","4","2","140","51.50","58.23","https://www.zendesk.com.br/help-desk-software/","0.08","0.16","0.95","67400000","0.82,0.82,0.82,0.82,1.00,0.65,0.53,0.53,0.65,0.65,0.82,0.82","1512400184"
"zendesk self hosted","2","0","70","51.26","0.00","https://www.zendesk.com.br/support/features/self-hosted-remote-support-software/","0.08","0.00","0.57","56000","0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.57,0.14,0.29,0.29","1511261154"
"zendesk help desk","2","2","70","62.67","0.00","https://www.zendesk.com.br/","0.08","0.00","0.86","525000","0.44,0.56,0.11,0.56,1.00,1.00,0.33,1.00,0.22,0.22,0.44,0.22","1511255654"
"zendesk compare","2","3","70","48.37","0.00","https://www.zendesk.com.br/product/pricing/","0.08","0.00","0.64","386000","0.57,0.14,0.14,0.14,0.14,0.14,0.71,0.14,0.14,0.14,0.14,1.00","1511254705"
"sistema ticket","1","2","20","63.94","0.29","https://www.zendesk.com.br/help-desk-software/features/ticketing-system/","0.08","0.00","0.21","11400000","0.25,0.25,0.50,0.25,0.50,0.50,0.75,0.75,0.50,0.50,1.00,0.50","1511701511"
"zendesk contact","2","0","70","46.33","0.00","https://www.zendesk.com.br/company/contact-info/","0.08","0.00","0.29","10600000","0.11,1.00,0.11,1.00,1.00,0.22,0.11,0.22,0.11,0.44,0.11,0.22","1511279543"
"helpdesk opensource","2","3","70","41.04","9.77","https://www.zendesk.com.br/help-desk-software/features/open-source-help-desk/","0.08","0.02","0.83","681000","0.36,0.36,0.50,0.50,0.36,0.29,0.50,0.79,1.00,0.64,0.14,0.29","1512470822"
"www zendesk com login","2","2","70","39.10","0.00","https://www.zendesk.com.br/login-chat/","0.08","0.00","0.26","3280000","1.00,0.78,0.33,0.78,0.11,0.11,0.11,0.44,0.78,0.78,0.44,0.22","1511287130"
"ticketing system free","2","0","70","45.44","0.00","https://www.zendesk.com.br/support/features/free-it-ticketing-system/","0.08","0.00","0.71","164000000","0.71,0.57,0.14,0.57,0.14,1.00,0.14,0.29,0.57,0.57,0.14,0.29","1511318644"
"e chat","10","0","320","61.02","0.03","https://www.zendesk.com.br/chat/","0.08","0.00","0.07","317000000","0.44,0.44,0.44,0.44,0.44,0.29,0.24,0.29,0.81,1.00,1.00,0.54","1511903620"
"trivagp","11","0","880","75.70","0.16","https://www.zendesk.com.br/customer/trivago/","0.07","0.00","0.20","0","0.36,1.00,0.19,1.00,0.55,0.67,0.07,0.03,0.13,0.13,0.10,0.36","1511130678"
"ver preço","18","16","2900","77.58","0.94","https://www.zendesk.com.br/product/pricing/","0.07","0.00","0.19","39300000","0.55,0.55,0.43,0.55,0.55,0.55,0.66,0.66,0.82,0.82,1.00,1.00","1513540223"
"customer call center software","3","0","90","43.02","0.00","https://www.zendesk.com.br/talk/features/call-center-software/","0.07","0.00","0.00","13100000","0.25,0.25,1.00,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25","1511213935"
