month+year first conv date;day first conv date;Week first conv date;month first conv date;year first conv date;first conversion date;origem;email domain analysis;Conversões;Eventos (Últimos 100)
01/01/2017;18;3;1;2017;18/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;18;3;1;2017;18/01/2017;Desconhecido;1;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;18;3;1;2017;18/01/2017;Desconhecido;0;3;Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;19;3;1;2017;19/01/2017;Desconhecido;1;1;site-exit-intent-consulting
01/01/2017;19;3;1;2017;19/01/2017;Desconhecido;1;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;19;3;1;2017;19/01/2017;Social | LinkedIn;0;3;IntegracaoExact / IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
01/01/2017;20;3;1;2017;20/01/2017;Social | Facebook;0;2;IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
01/01/2017;20;3;1;2017;20/01/2017;Tráfego Direto;0;2;IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
01/01/2017;20;3;1;2017;20/01/2017;Desconhecido;0;6;IntegracaoExact / IntegracaoExact / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;20;3;1;2017;20/01/2017;Desconhecido;0;5;Criação de Conta - Dados de Acesso / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;21;3;1;2017;21/01/2017;Busca Orgânica;0;5;lp-cxtrends-2017 / lincoln-murphy-customer-success / lp-cxtrends-2017 / site-modal-consultores-casos-de-sucesso / site-newsletter
01/01/2017;21;3;1;2017;21/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;21;3;1;2017;21/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;22;4;1;2017;22/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;22;4;1;2017;22/01/2017;Desconhecido;0;1;site-exit-intent-consulting
01/01/2017;22;4;1;2017;22/01/2017;Desconhecido;0;3;Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;23;4;1;2017;23/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;23;4;1;2017;23/01/2017;Desconhecido;0;1;site-contato
01/01/2017;23;4;1;2017;23/01/2017;Desconhecido;1;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;23;4;1;2017;23/01/2017;Desconhecido;1;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;23;4;1;2017;23/01/2017;Desconhecido;0;5;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso / site-exit-intent-consulting
01/01/2017;23;4;1;2017;23/01/2017;Desconhecido;1;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;23;4;1;2017;23/01/2017;Desconhecido;1;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;23;4;1;2017;23/01/2017;Referência;1;1;como-reduzir-custos-com-atendimento-ao-cliente-v2
01/01/2017;23;4;1;2017;23/01/2017;Desconhecido;1;12;IntegracaoExact / IntegracaoExact / IntegracaoExact / IntegracaoExact / IntegracaoExact / IntegracaoExact / IntegracaoExact / form-trial-experimente-o-octadesk / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;24;4;1;2017;24/01/2017;Social | Facebook;0;1;como-reduzir-custos-com-atendimento-ao-cliente-v2
01/01/2017;24;4;1;2017;24/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;24;4;1;2017;24/01/2017;Desconhecido;1;7;Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;24;4;1;2017;24/01/2017;Desconhecido;0;5;Criação de Conta - Dados de Acesso / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;24;4;1;2017;24/01/2017;Desconhecido;1;1;site-exit-intent-consulting
01/01/2017;24;4;1;2017;24/01/2017;Social | LinkedIn;0;1;como-reduzir-custos-com-atendimento-ao-cliente-v2
01/01/2017;24;4;1;2017;24/01/2017;Desconhecido;1;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;24;4;1;2017;24/01/2017;Desconhecido;1;7;IntegracaoExact / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso / site-exit-intent-consulting / site-contato
01/01/2017;24;4;1;2017;24/01/2017;Desconhecido;1;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;25;4;1;2017;25/01/2017;Desconhecido;0;5;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;25;4;1;2017;25/01/2017;Desconhecido;0;1;site-exit-intent-consulting
01/01/2017;25;4;1;2017;25/01/2017;Desconhecido;0;5;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso / Criação de Conta - Dados de Acesso
01/01/2017;25;4;1;2017;25/01/2017;Desconhecido;0;9;Criação de Conta - Dados de Acesso / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa
01/01/2017;25;4;1;2017;25/01/2017;Desconhecido;0;7;Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;25;4;1;2017;25/01/2017;Desconhecido;0;8;form-trial-experimente-o-octadesk / form-trial-experimente-o-octadesk-email / IntegracaoExact / form-trial-experimente-o-octadesk / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;25;4;1;2017;25/01/2017;Desconhecido;0;5;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;25;4;1;2017;25/01/2017;Desconhecido;1;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados Pessoais
01/01/2017;25;4;1;2017;25/01/2017;Desconhecido;0;7;lp-cxtrends-2017 / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2 / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso / site-modal-demo-suporte
01/01/2017;25;4;1;2017;25/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;25;4;1;2017;25/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;25;4;1;2017;25/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;25;4;1;2017;25/01/2017;Desconhecido;0;6;Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;26;4;1;2017;26/01/2017;Desconhecido;0;3;Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;26;4;1;2017;26/01/2017;Desconhecido;0;8;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;26;4;1;2017;26/01/2017;Desconhecido;1;17;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso / Criação de Conta - Dados de Acesso / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso / site-modal-demo-home
01/01/2017;26;4;1;2017;26/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;26;4;1;2017;26/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;26;4;1;2017;26/01/2017;Busca Orgânica;1;4;IntegracaoExact / IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2 / como-reduzir-custos-com-atendimento-ao-cliente-v2
01/01/2017;26;4;1;2017;26/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;27;4;1;2017;27/01/2017;Desconhecido;0;17;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;27;4;1;2017;27/01/2017;Social | Facebook;0;1;como-reduzir-custos-com-atendimento-ao-cliente-v2
01/01/2017;27;4;1;2017;27/01/2017;Desconhecido;1;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;27;4;1;2017;27/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;27;4;1;2017;27/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
