Nome	Total de Leads	Total de Leads Qualificados	Leads Qualificados no período	Eficiência
/checklist-de-atendimento-helpdesk/	2	1	1	0.5
aplicativo-octadesk-nfbox	2	1	1	0.5
Criação de Conta - Intenção de Sair	121	1	1	0.008264462809917356
Untitled form 9/11/2017	1	1	1	1.0
/sistema-help-desk-ad	1	1	1	1.0
/sistema-de-chamados-ad	1	1	1	1.0
PreBlackFridayLeadAds	1	1	1	1.0
/planilha-de-help-desk/	2	1	1	0.5
/planilha-de-cadastro-de-clientes/	2	1	1	0.5
/cadastro-de-clientes-ad	1	1	1	1.0
/7-dicas-bom-atendimento-ao-cliente/	6	1	1	0.16666666666666666
lp-jornada-do-cliente-agendor-social	7	1	1	0.14285714285714285
/dez-dicas-de-atendimento-ao-cliente-para-pequenas-empresas/	2	1	1	0.5
chat-para-site	2	1	1	0.5
topo-menu-experimente-o-octadesk	2	1	1	0.5
teste-utm-chat	1	1	1	1.0
site-exit-intent-freshdesk	2	1	1	0.5
infografico-como-atender-bem-seus-clientes-nas-redes-sociais	3	1	1	0.3333333333333333
guia-os-dez-mandamentos-de-sucesso-no-atendimento-ao-cliente	15	1	1	0.06666666666666667
/gestao-de-processos-no-atendimento/	12	1	1	0.08333333333333333
/ebooks-atendimento-ao-cliente/	1	1	1	1.0
/concorrentes/freshdesk	1	1	1	1.0
/comparativo/controle-de-chamados	1	1	1	1.0
9-chaves-para-atender-bem-e-atender-sempre	19	1	1	0.05263157894736842
this.RdIdentificator	9	1	1	0.1111111111111111
site-exit-intent-zendeskk	2	1	1	0.5
site-exit-intent-chat	3	1	1	0.3333333333333333
/e-commerce-news/	1	1	1	1.0
/diferenca-omnichannel-multichannel/	2	1	1	0.5
site-lp-zendesk-exit-intent-testeB	2	1	1	0.5
site-exit-intent-planos-precos-testeB	1	1	1	1.0
insercao-manual	8	1	1	0.125
ebook-atendimento-ao-cliente-site	3	1	1	0.3333333333333333
lps-content-exit-itent-newsletter	6	1	1	0.16666666666666666
hubspot_via_zapier	70	1	1	0.014285714285714285
